f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55
1.35,684.002,9.692,4.039,3086.429,1552.389,185.289,1.871,8.129,27.078,-2.899,1.573,40.81,0.0,31.72,47.0,909.484,58.927,915.46,0.0,6.381,0.0,70.965,0.0,28.326,70.832,73.688,0.0,1356.941,8.262,45.516,82.585,0.0,0.0,0.0,0.0,82.487,1.099,1.087,91.076,45.773,91.076,1002.778,936.96,17.682,161.885,110.0,162.177,40.471,244.823,82.623,29.469,78.654,7.025,3030.404
1.206,326.555,9.884,4.173,1834.585,1500.779,36.167,-3.359,1.626,120.376,3.272,6.876,24.875,0.0,40.689,47.0,757.034,47.332,755.702,0.0,1.258,0.0,145.713,0.0,42.212,145.713,150.07,0.0,1343.083,10.886,45.879,46.654,0.0,0.0,0.0,0.0,46.44,1.112,1.267,89.244,37.785,89.244,565.907,552.278,66.323,111.037,110.0,111.005,27.751,242.733,71.206,23.669,74.733,5.224,1752.489
1.248,373.93,9.595,4.178,2412.298,1710.368,157.906,3.487,6.213,27.333,-4.334,1.596,42.733,0.0,49.18,47.0,823.066,51.826,834.853,0.0,176.737,0.0,-0.031,0.0,0.399,-0.031,0.0,0.0,1336.538,14.931,46.519,75.547,0.0,0.0,0.0,0.0,75.616,1.087,1.094,92.008,41.743,92.008,1021.302,1074.829,35.186,125.369,110.0,125.128,31.282,241.604,75.361,25.907,75.603,5.033,3213.528
1.01,1.0,1.0,0.0,1.0,1.0,-0.383,-0.028,0.0,-0.618,-0.004,0.0,0.74,35.0,0.657,47.0,24.331,40.0,-0.0,0.0,154.769,0.0,-0.026,0.0,1.754,-0.027,0.0,0.0,786.195,-5.0,43.555,100.0,0.0,0.0,0.0,0.0,100.0,1.141,1.176,82.66,-0.0,82.66,2.688,174.398,2.378,35.347,110.0,35.347,8.839,8.92,0.708,20.0,80.746,6.552,22.666
1.196,471.772,10.008,3.478,1643.121,1251.791,158.005,2.128,6.92,27.392,-1.189,1.568,40.388,0.0,49.346,45.0,631.704,40.0,568.343,0.0,147.874,0.0,-0.049,0.0,2.216,-0.049,0.0,0.0,1339.668,9.869,45.816,100.0,0.0,0.0,0.0,0.0,100.0,0.998,1.021,89.876,28.417,89.876,750.59,1099.678,66.892,80.377,110.0,80.372,20.093,207.963,63.468,20.0,76.515,4.584,3314.327
1.211,12.568,6.587,4.408,2337.98,1144.66,37.757,-0.024,1.679,28.06,-0.011,1.556,29.944,0.0,44.772,47.0,883.963,52.594,889.312,0.0,239.178,0.0,-0.012,0.0,6.295,-0.013,0.0,0.0,1350.726,11.065,45.984,100.0,0.0,0.0,0.0,0.0,100.0,0.977,1.031,93.795,44.475,93.795,723.731,964.214,42.527,137.411,110.0,137.783,34.446,263.843,76.597,26.293,76.394,4.973,3071.902
1.262,185.019,9.531,4.597,2509.562,1913.946,27.353,-2.44,1.203,89.106,2.601,4.918,45.408,0.0,54.887,47.0,920.778,56.176,919.763,0.0,203.008,0.0,-0.04,0.0,0.281,-0.038,0.0,0.0,1327.091,8.803,45.671,95.628,0.0,0.0,0.0,0.0,95.777,1.068,1.035,93.031,45.988,93.031,1141.423,1119.281,17.946,131.313,110.0,131.272,32.818,301.925,79.935,28.093,78.772,6.984,3444.922
1.22,309.861,9.819,4.118,2053.261,1473.686,122.437,5.801,5.222,28.178,-6.123,1.58,38.002,0.0,39.952,47.0,851.614,52.62,837.687,0.0,77.56,0.0,139.661,0.0,40.768,138.7,130.873,0.0,1354.908,7.9,45.462,70.256,0.0,0.0,0.0,0.0,70.047,1.106,1.163,91.357,41.884,91.357,891.902,843.711,50.752,137.558,110.0,137.549,34.389,240.803,76.267,26.312,75.657,6.533,2785.714
1.247,317.604,9.86,4.124,2042.839,1567.653,36.795,-1.619,1.636,80.528,3.726,4.65,39.741,0.0,58.115,47.0,338.661,40.356,103.465,0.0,342.627,0.0,-0.02,0.0,2.581,-0.02,-0.0,0.0,1254.338,7.461,45.406,100.0,0.0,0.0,0.0,0.0,100.0,1.041,1.032,90.602,5.165,90.602,989.459,1130.186,40.97,35.098,110.0,34.625,8.688,188.711,56.034,20.296,74.386,5.86,2930.552
1.207,259.394,9.939,3.411,1686.638,1754.346,37.325,-3.135,1.673,120.376,5.759,6.536,40.138,0.0,51.672,45.0,647.773,40.513,625.599,0.0,432.331,0.0,-0.046,0.0,2.413,-0.046,0.0,0.0,1322.304,10.111,45.861,100.0,0.0,0.0,0.0,0.0,100.0,0.969,0.986,93.099,31.28,93.099,635.247,1161.0,43.24,83.822,110.0,83.751,20.938,180.807,63.937,20.27,74.617,4.648,3084.483
1.24,223.414,9.785,4.218,2310.844,1276.69,56.247,0.631,2.528,27.176,-0.531,1.571,25.388,0.0,42.92,47.0,752.416,46.397,753.273,0.0,270.939,0.0,-0.042,0.0,2.177,-0.042,0.0,0.0,1344.179,12.397,46.165,100.197,0.0,0.0,0.0,0.0,100.0,1.006,1.112,90.991,37.665,90.991,602.306,789.561,26.607,108.485,110.0,108.438,27.109,236.498,70.17,23.199,76.535,5.264,1.0
1.218,14.658,10.138,3.908,1874.359,1269.535,91.697,2.162,3.846,27.098,-2.731,1.558,2.546,0.0,25.95,47.0,831.472,51.478,821.783,0.0,13.024,0.0,5.391,0.0,100.0,5.391,66.976,0.0,1241.129,14.307,46.438,100.0,0.0,0.0,0.0,0.0,100.0,0.936,0.956,91.87,40.945,91.711,0.263,1067.415,44.679,128.907,110.0,128.577,32.188,212.042,75.24,25.743,81.158,5.895,1537.296
1.28,229.95,9.907,4.018,2615.323,1391.74,27.491,-3.093,1.222,77.761,3.217,4.228,24.555,0.0,34.743,47.0,786.909,49.517,776.45,0.0,0.124,0.0,339.337,0.0,100.0,339.314,550.0,0.0,1347.607,18.376,46.995,-1.214,0.0,0.0,0.0,0.0,-1.215,-0.069,1.481,91.507,38.82,91.51,531.557,515.984,35.469,124.04,110.0,123.917,30.979,254.212,73.05,24.762,79.574,5.072,1911.88
1.212,134.788,9.872,3.735,1769.271,1152.578,36.913,-0.383,1.646,116.175,4.091,5.825,41.565,0.0,40.965,45.0,640.534,40.0,601.986,0.0,250.434,0.0,-0.045,0.0,2.105,-0.045,0.0,0.0,1348.682,8.632,45.559,100.0,0.0,0.0,0.0,0.0,100.0,1.014,1.022,91.982,30.099,91.982,807.622,1144.705,33.137,82.182,110.0,82.339,20.585,195.981,63.319,20.0,78.296,4.484,2868.817
1.141,131.196,9.86,4.083,1337.578,1217.734,27.314,-0.048,1.208,27.824,-0.044,1.569,43.53,0.0,39.06,47.0,820.24,51.928,817.953,0.0,277.281,0.0,-0.043,0.0,3.31,-0.041,0.0,0.0,1341.789,14.86,46.441,100.001,0.0,0.0,0.0,0.0,100.0,-0.09,0.949,92.37,40.915,92.37,1041.709,1137.348,64.393,133.854,110.0,133.359,33.34,208.584,75.546,25.957,76.081,5.131,3712.44
1.3,133.669,9.866,3.831,2628.458,1353.104,36.991,-0.071,1.631,27.432,-0.008,1.567,42.507,0.0,53.267,45.0,625.752,40.0,567.782,0.0,256.196,0.0,-0.053,0.0,2.0,-0.053,-0.0,0.0,1322.078,8.991,45.607,100.0,0.0,0.0,0.0,0.0,100.0,1.001,1.011,90.073,28.389,90.073,587.103,1219.179,48.624,76.225,110.0,76.225,19.028,183.116,63.31,20.0,75.665,4.523,3208.31
1.114,134.317,9.878,4.173,1056.509,1346.712,27.039,-0.077,1.209,23.211,0.23,1.305,37.596,0.0,34.887,47.0,811.782,50.635,808.978,0.0,25.168,0.0,323.104,0.0,100.0,323.039,550.0,0.0,1353.328,21.37,47.385,1.661,0.0,0.0,0.0,0.0,1.924,-0.075,1.276,92.866,40.449,92.866,888.377,852.813,68.14,128.513,110.0,128.518,32.129,224.113,74.299,25.326,80.265,5.012,2495.314
1.175,260.601,9.933,4.234,1571.003,1380.96,131.034,4.418,5.275,26.686,-4.948,1.539,30.598,0.0,37.262,47.0,805.516,49.595,796.076,0.0,0.125,0.0,81.244,0.0,41.409,81.583,79.875,0.0,1353.796,12.686,46.185,100.0,0.0,0.0,0.0,0.0,100.0,-0.086,1.192,92.286,39.803,92.288,693.684,57.095,29.661,127.809,110.0,127.722,31.953,230.176,73.162,24.803,79.538,5.01,1610.248
1.014,117.682,9.498,4.282,130.924,1094.099,27.451,-0.056,1.197,27.275,-0.018,1.63,37.695,0.0,26.521,47.0,894.702,57.306,899.913,0.0,0.105,0.0,93.603,0.0,30.0,93.621,79.787,0.0,1368.826,10.404,45.881,76.148,0.0,0.0,0.0,0.0,76.21,1.1,1.126,94.237,44.996,94.237,942.626,857.006,21.111,153.517,110.0,153.467,38.367,255.207,81.113,28.649,79.439,7.115,2658.506
1.204,343.25,10.175,4.265,2029.489,1137.314,187.448,3.627,8.232,27.805,-7.079,1.582,30.526,0.0,29.342,47.0,855.957,54.002,852.229,0.0,0.116,0.0,159.655,0.0,40.116,159.903,156.246,0.0,1351.025,7.774,45.496,48.931,0.0,0.0,0.0,0.0,49.039,1.083,1.197,92.274,42.703,92.274,733.936,728.545,30.989,142.3,110.0,142.3,35.575,233.427,78.047,27.006,74.232,5.083,2388.684
1.19,124.365,9.742,4.241,2123.441,981.148,36.775,-0.062,1.619,17.617,0.289,0.996,40.18,0.0,51.927,47.0,841.696,52.755,877.317,0.0,131.598,0.0,88.095,0.0,31.132,88.029,74.431,0.0,1334.207,-0.0,76.544,51.591,0.0,0.0,0.0,0.0,51.533,1.023,1.2,94.806,43.871,94.806,1047.342,1047.07,-0.0,132.128,110.0,132.128,33.032,238.763,76.685,26.37,77.115,5.122,3351.307
1.116,182.104,9.778,4.312,1055.178,1187.875,36.697,-0.738,1.647,117.49,4.029,6.286,43.271,0.0,44.266,47.0,845.847,51.795,851.675,0.0,185.558,0.0,-0.002,0.0,7.267,-0.002,0.0,0.0,1345.685,8.11,45.539,100.0,0.0,0.0,0.0,0.0,100.0,0.973,0.976,92.312,42.584,92.312,1138.014,1160.998,73.175,134.902,110.0,135.389,33.847,251.73,75.866,25.898,76.162,5.05,3132.893
1.222,918.433,9.889,4.19,2020.466,1455.084,36.363,-1.733,1.623,155.688,1.54,8.885,28.014,0.0,32.902,47.0,824.27,50.627,803.779,0.0,239.99,0.0,-0.016,0.0,6.123,-0.018,0.0,0.0,1347.148,7.159,45.346,100.0,0.0,0.0,0.0,0.0,100.0,0.982,1.058,90.308,40.257,90.308,697.709,920.189,49.755,130.187,110.0,130.187,32.547,203.058,74.789,25.318,79.926,4.55,1.0
